DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationVerticalMeasure,MonitoringLocationVerticalUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityStartTimeZone,ActivityEndDate,ActivityEndTime,ActivityEndTimeZone,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
Friends of First Lake Water Quality Monitoring Data,FLOL-1,First Lake,44.76804,-63.64878,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2023-07-12,,,2023-07-12,,,-0.4,m,Probe/Sensor,Salinity,,,0.22,ppth,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLOL-1,First Lake,44.76804,-63.64878,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2023-07-12,,,2023-07-12,,,-0.4,m,Van Dorn Bottle,Zinc,,Dissolved,,,Actual,Below Detection/Quantification Limit,5,ug/L,Reporting Limit,,,"3010,3020,3030,and 3125",APHA,ICP-MS,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLOL-1,First Lake,44.76804,-63.64878,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2023-07-12,,,2023-07-12,,,-0.4,m,Van Dorn Bottle,Langelier Saturation Index,,,-1.3,None,Calculated,,,,,,,,,Calculated,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2023-07-12,,,2023-07-12,,,-0.4,m,Van Dorn Bottle,Sodium,,Dissolved,72.1,mg/L,Actual,,,,,,,"3010,3020,3030,and 3125",APHA,ICP-MS,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2023-07-12,,,2023-07-12,,,-5.5,m,Van Dorn Bottle,Bicarbonate,as CaCO3,,29,mg/L,Calculated,,,,,,,,,Calculated,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2023-07-12,,,2023-07-12,,,-5,m,Van Dorn Bottle,Lead,,Dissolved,,,Actual,Below Detection/Quantification Limit,0.5,ug/L,Reporting Limit,,,"3010,3020,3030,and 3125",APHA,ICP-MS,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2023-07-12,,,2023-07-12,,,-20,m,Probe/Sensor,"Temperature, water",,,7.3,deg C,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2023-07-12,,,2023-07-12,,,-10,m,Probe/Sensor,Salinity,,,0.25,ppth,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2023-07-12,,,2023-07-12,,,-5.5,m,Van Dorn Bottle,Sulfate,,Dissolved,14,mg/L,Actual,,,,,,,4110B,APHA,,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2023-07-12,,,2023-07-12,,,-5.5,m,Van Dorn Bottle,Pheophytin,,Total,0.63,ug/L,Actual,,,,,,,445,USEPA,,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2023-07-12,,,2023-07-12,,,-0.4,m,Van Dorn Bottle,Bicarbonate,as CaCO3,,28.5,mg/L,Calculated,,,,,,,,,Calculated,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2023-07-12,,,2023-07-12,,,-5,m,Van Dorn Bottle,Cadmium,,Dissolved,,,Actual,Below Detection/Quantification Limit,1,ug/L,Reporting Limit,,,"3010,3020,3030,and 3125",APHA,ICP-MS,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2023-07-12,,,2023-07-12,,,-6,m,Probe/Sensor,Total dissolved solids,,,325.2,mg/L,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2023-07-12,,,2023-07-12,,,-5,m,Van Dorn Bottle,"Total Phosphorus, mixed forms",as P,Unfiltered,0.007,mg/L,Actual,,,,,,,4500-P I,APHA,,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2023-07-12,,,2023-07-12,,,-5.5,m,Van Dorn Bottle,Thallium,,Dissolved,,,Actual,Below Detection/Quantification Limit,2,ug/L,Reporting Limit,,,"3010,3020,3030,and 3125",APHA,ICP-MS,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2023-07-12,,,2023-07-12,,,-0.4,m,Van Dorn Bottle,Silver,,Dissolved,,,Actual,Below Detection/Quantification Limit,2,ug/L,Reporting Limit,,,"3010,3020,3030,and 3125",APHA,ICP-MS,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2023-07-12,,,2023-07-12,,,-0.4,m,Van Dorn Bottle,Turbidity,,,0.9,NTU,Actual,,,,,,,2130B,APHA,,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2023-07-12,,,2023-07-12,,,-5,m,Van Dorn Bottle,"pH, lab",,,7.8,None,Actual,,,,,,,4500 H+B,APHA,,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2023-07-12,,,2023-07-12,,,-19.8,m,Van Dorn Bottle,Carbonate,as CaCO3,,0.21,mg/L,Calculated,,,,,,,,,Calculated,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2023-07-12,,,2023-07-12,,,-0.4,m,Van Dorn Bottle,Calcium,,Total,0.719,meq/L,Calculated,,,,,,,,,Calculated,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2023-07-12,,,2023-07-12,,,-19.8,m,Van Dorn Bottle,Sum of anions,,,4.12,meq/L,Calculated,,,,,,,,,Calculated,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2023-07-12,,,2023-07-12,,,-0.4,m,Probe/Sensor,Dissolved oxygen saturation,,,96.3,%,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2023-07-12,,,2023-07-12,,,-15,m,Probe/Sensor,pH,,,6.81,None,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLOL-1,First Lake,44.76804,-63.64878,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2023-07-12,,,2023-07-12,,,-0.4,m,Van Dorn Bottle,Cobalt,,Dissolved,,,Actual,Below Detection/Quantification Limit,2,ug/L,Reporting Limit,,,"3010,3020,3030,and 3125",APHA,ICP-MS,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2023-07-12,,,2023-07-12,,,-5.5,m,Van Dorn Bottle,Calcium,,Total,0.763,meq/L,Calculated,,,,,,,,,Calculated,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2023-07-12,,,2023-07-12,,,-5.5,m,Van Dorn Bottle,Boron,,Dissolved,,,Actual,Below Detection/Quantification Limit,20,ug/L,Reporting Limit,,,"3010,3020,3030,and 3125",APHA,ICP-MS,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLOL-1,First Lake,44.76804,-63.64878,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2023-07-12,,,2023-07-12,,,-0.4,m,Van Dorn Bottle,Beryllium,,Dissolved,,,Actual,Below Detection/Quantification Limit,0.4,ug/L,Reporting Limit,,,"3010,3020,3030,and 3125",APHA,ICP-MS,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2023-07-12,,,2023-07-12,,,-0.4,m,Van Dorn Bottle,Sulfate,,Total,0.291,meq/L,Calculated,,,,,,,,,Calculated,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2023-07-12,,,2023-07-12,,,-5.5,m,Van Dorn Bottle,Total suspended solids,,,,,Actual,Below Detection/Quantification Limit,5,mg/L,Reporting Limit,,,2540 D,APHA,,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLOL-1,First Lake,44.76804,-63.64878,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2023-07-12,,,2023-07-12,,,-0.4,m,Van Dorn Bottle,Lead,,Dissolved,,,Actual,Below Detection/Quantification Limit,0.5,ug/L,Reporting Limit,,,"3010,3020,3030,and 3125",APHA,ICP-MS,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2023-07-12,,,2023-07-12,,,-4,m,Probe/Sensor,Conductivity,,,426.8,uS/cm,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2023-07-12,,,2023-07-12,,,-5,m,Van Dorn Bottle,Sum of anions,,,3.98,meq/L,Calculated,,,,,,,,,Calculated,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2023-07-12,,,2023-07-12,,,-5,m,Van Dorn Bottle,"pH, saturated",,,9.3,None,Calculated,,,,,,,,,Calculated,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2023-07-12,,,2023-07-12,,,-5.5,m,Van Dorn Bottle,Magnesium,,Dissolved,1.9,mg/L,Actual,,,,,,,"3010,3020,3030,and 3125",APHA,ICP-MS,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2023-07-12,,,2023-07-12,,,-3,m,Probe/Sensor,"Temperature, water",,,21.8,deg C,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2023-07-12,,,2023-07-12,,,-19.8,m,Van Dorn Bottle,Conductivity,,,511,uS/cm,Calculated,,,,,,,,,Calculated,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2023-07-12,,,2023-07-12,,,-5,m,Van Dorn Bottle,Beryllium,,Dissolved,,,Actual,Below Detection/Quantification Limit,0.4,ug/L,Reporting Limit,,,"3010,3020,3030,and 3125",APHA,ICP-MS,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLOL-1,First Lake,44.76804,-63.64878,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2023-07-12,,,2023-07-12,,,-0.4,m,Van Dorn Bottle,"pH, lab",,,7.8,None,Actual,,,,,,,4500 H+B,APHA,,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2023-07-12,,,2023-07-12,,,-19.8,m,Van Dorn Bottle,Langelier Saturation Index,,,-1.4,None,Calculated,,,,,,,,,Calculated,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2023-07-12,,,2023-07-12,,,-5.5,m,Van Dorn Bottle,Carbonate,as CaCO3,,0.17,mg/L,Calculated,,,,,,,,,Calculated,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2023-07-12,,,2023-07-12,,,-0.4,m,Van Dorn Bottle,Magnesium,,Total,0.148,meq/L,Calculated,,,,,,,,,Calculated,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Sample-Integrated Vertical Profile,Surface Water,2023-07-12,,,2023-07-12,,,-5.5,m,Van Dorn Bottle,Potassium,,Dissolved,1.7,mg/L,Actual,,,,,,,"3010,3020,3030,and 3125",APHA,ICP-MS,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLEC-3A,First Lake,44.77623,-63.6735,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2023-07-12,,,2023-07-12,,,-0.4,m,Water Bottle,Total Coliform,,,,,Actual,Above Detection/Quantification Limit,4838,MPN/100mL,Reporting Limit,,,SM9223B,APHA,ICP-MS,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLEC-3B,First Lake,44.77657,-63.67296,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2023-07-12,,,2023-07-12,,,-0.4,m,Water Bottle,Total Coliform,,,,,Actual,Above Detection/Quantification Limit,4838,MPN/100mL,Reporting Limit,,,SM9223B,APHA,ICP-MS,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLEC-5,First Lake,44.76802,-63.64847,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2023-07-12,,,2023-07-12,,,-0.4,m,Water Bottle,Escherichia coli,,,176,MPN/100mL,Actual,,4838,MPN/100mL,Reporting Limit,,,SM9223B,APHA,ICP-MS,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLEC-5,First Lake,44.76802,-63.64847,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2023-07-12,,,2023-07-12,,,-0.4,m,Water Bottle,Total Coliform,,,,,Actual,Above Detection/Quantification Limit,4838,MPN/100mL,Reporting Limit,,,SM9223B,APHA,ICP-MS,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLEC-3B,First Lake,44.77657,-63.67296,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2023-07-12,,,2023-07-12,,,-0.4,m,Water Bottle,Escherichia coli,,,2240,MPN/100mL,Actual,,4838,MPN/100mL,Reporting Limit,,,SM9223B,APHA,ICP-MS,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLEC-1,First Lake,44.76979,-63.67092,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2023-07-12,,,2023-07-12,,,-0.4,m,Water Bottle,Escherichia coli,,,1034,MPN/100mL,Actual,,4838,MPN/100mL,Reporting Limit,,,SM9223B,APHA,ICP-MS,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLECD-4,First Lake,44.77644,-63.67379,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2023-07-12,,,2023-07-12,,,-0.4,m,Water Bottle,Escherichia coli,,,,,Actual,Above Detection/Quantification Limit,4838,MPN/100mL,Reporting Limit,,,SM9223B,APHA,ICP-MS,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLEC-3A,First Lake,44.77623,-63.6735,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2023-07-12,,,2023-07-12,,,-0.4,m,Water Bottle,Escherichia coli,,,1373,MPN/100mL,Actual,,4838,MPN/100mL,Reporting Limit,,,SM9223B,APHA,ICP-MS,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLECD-4,First Lake,44.77644,-63.67379,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2023-07-12,,,2023-07-12,,,-0.4,m,Water Bottle,Total Coliform,,,,,Actual,Above Detection/Quantification Limit,4838,MPN/100mL,Reporting Limit,,,SM9223B,APHA,ICP-MS,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLEC-1,First Lake,44.76979,-63.67092,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2023-07-12,,,2023-07-12,,,-0.4,m,Water Bottle,Total Coliform,,,,,Actual,Above Detection/Quantification Limit,4838,MPN/100mL,Reporting Limit,,,SM9223B,APHA,ICP-MS,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2023-08-22,,,2022-08-23,,,-2.5,m,Probe/Sensor,pH,,,7.61,None,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2023-08-22,,,2022-08-23,,,-8.5,m,Probe/Sensor,pH,,,6.82,None,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2023-08-22,,,2022-08-23,,,-5.5,m,Probe/Sensor,pH,,,6.69,None,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2023-08-22,,,2022-08-23,,,-9.5,m,Probe/Sensor,pH,,,6.82,None,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2023-08-22,,,2022-08-23,,,-3.5,m,Probe/Sensor,pH,,,7.6,None,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2023-08-22,,,2022-08-23,,,-12.5,m,Probe/Sensor,pH,,,6.61,None,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2023-08-22,,,2022-08-23,,,-15.5,m,Probe/Sensor,pH,,,6.72,None,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2023-08-22,,,2022-08-23,,,-9,m,Probe/Sensor,pH,,,6.81,None,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2023-08-22,,,2022-08-23,,,-18.5,m,Probe/Sensor,pH,,,6.79,None,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2023-08-22,,,2022-08-23,,,-7,m,Probe/Sensor,pH,,,6.73,None,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2023-08-22,,,2022-08-23,,,-11.5,m,Probe/Sensor,pH,,,6.61,None,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2023-08-22,,,2022-08-23,,,-17.5,m,Probe/Sensor,pH,,,6.78,None,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2023-08-22,,,2022-08-23,,,-16.5,m,Probe/Sensor,pH,,,6.75,None,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2023-08-22,,,2022-08-23,,,-7.5,m,Probe/Sensor,pH,,,6.77,None,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2023-08-22,,,2022-08-23,,,-13.5,m,Probe/Sensor,pH,,,6.61,None,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2023-08-22,,,2022-08-23,,,-6.5,m,Probe/Sensor,pH,,,6.76,None,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2023-08-22,,,2022-08-23,,,-0.25,m,Probe/Sensor,pH,,,7.63,None,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2023-08-22,,,2022-08-23,,,-18,m,Probe/Sensor,pH,,,6.78,None,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2023-08-22,,,2022-08-23,,,-11,m,Probe/Sensor,pH,,,6.67,None,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2023-08-22,,,2022-08-23,,,-2,m,Probe/Sensor,pH,,,7.62,None,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2023-08-22,,,2022-08-23,,,-10,m,Probe/Sensor,pH,,,6.76,None,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2023-08-22,,,2022-08-23,,,-4,m,Probe/Sensor,pH,,,7.62,None,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2023-08-22,,,2022-08-23,,,-1.5,m,Probe/Sensor,pH,,,7.63,None,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2023-08-22,,,2022-08-23,,,-14,m,Probe/Sensor,pH,,,6.63,None,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2023-08-22,,,2022-08-23,,,-4.5,m,Probe/Sensor,pH,,,7.39,None,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2023-08-22,,,2022-08-23,,,-14.5,m,Probe/Sensor,pH,,,6.65,None,Actual,,,,,,,,YSI,,,,,,
